Tracking_Number,Species,Date,Time,Lat,Long
47823,Harbor Seal,6/9/2005,3:26:11,42.861,69.39
47823,Harbor Seal,6/10/2005,11:10:35,43.224,69.736
47823,Harbor Seal,6/11/2005,8:45:16,43.796,69.591
47823,Harbor Seal,6/12/2005,8:39:47,43.796,69.588
47823,Harbor Seal,6/13/2005,13:31:06,43.794,69.566
47823,Harbor Seal,6/18/2005,19:16:40,43.3,69.521
47823,Harbor Seal,6/19/2005,8:52:32,43.762,69.591
47823,Harbor Seal,6/20/2005,10:26:18,43.788,69.586
47823,Harbor Seal,6/21/2005,23:49:41,43.369,69.372
47823,Harbor Seal,6/22/2005,18:05:53,43.37,69.463
47823,Harbor Seal,6/23/2005,23:05:08,43.282,69.447
47823,Harbor Seal,6/24/2005,12:57:34,43.375,69.521
47823,Harbor Seal,6/25/2005,17:29:41,43.864,69.468
47823,Harbor Seal,6/26/2005,9:10:47,43.787,69.629
47823,Harbor Seal,6/27/2005,15:35:36,43.588,69.746
47823,Harbor Seal,6/28/2005,7:04:57,43.023,70.015
47823,Harbor Seal,6/29/2005,2:48:09,42.857,69.53
47823,Harbor Seal,6/30/2005,18:14:28,43.384,69.554
47823,Harbor Seal,7/2/2005,1:24:16,43.797,69.589
39395,Gray Seal,1/15/2018,2:01:13,40.889,72.531
39395,Gray Seal,1/16/2018,12:42:35,41.672,71.612
39395,Gray Seal,1/17/2018,15:18:54,41.343,70.287
39395,Gray Seal,1/19/2018,0:41:45,41.323,70.325
39395,Gray Seal,1/19/2018,20:44:45,41.335,70.31
39395,Gray Seal,1/20/2018,23:24:34,41.331,70.327
39395,Gray Seal,1/25/2018,12:40:41,41.332,70.303
39395,Gray Seal,1/26/2018,15:30:37,41.331,70.308
39395,Gray Seal,1/28/2018,0:53:57,41.333,70.308
39395,Gray Seal,1/29/2018,2:10:56,41.334,70.297
39395,Gray Seal,1/30/2018,23:07:10,41.223,70.304
39395,Gray Seal,1/31/2018,20:06:09,40.948,70.17
39395,Gray Seal,2/2/2018,9:53:45,41.012,70.172
39395,Gray Seal,2/4/2018,22:38:27,41.056,70.374
39395,Gray Seal,2/5/2018,22:00:50,41.089,70.527
39395,Gray Seal,2/6/2018,23:25:51,41.154,70.822
39395,Gray Seal,2/8/2018,2:04:46,41.094,70.928
39395,Gray Seal,2/9/2018,0:47:23,41.059,70.921
39395,Gray Seal,2/11/2018,10:06:03,40.959,71.002
39395,Gray Seal,2/13/2018,1:07:17,40.848,71.113
39395,Gray Seal,2/16/2018,13:29:05,40.737,70.062
39395,Gray Seal,2/18/2018,2:02:45,40.989,69.867
39395,Gray Seal,2/19/2018,1:36:16,41.119,70.217
39395,Gray Seal,2/21/2018,0:04:46,41.178,69.875
39395,Gray Seal,2/22/2018,22:58:26,41.086,70.516
39395,Gray Seal,2/23/2018,20:47:53,41.054,70.758
39395,Gray Seal,2/24/2018,23:54:29,40.943,70.999
39395,Gray Seal,2/25/2018,13:29:35,40.918,71.176
39395,Gray Seal,2/28/2018,0:23:01,40.794,70.264
39395,Gray Seal,2/28/2018,9:37:33,40.832,70.087
39395,Gray Seal,3/3/2018,1:47:29,40.301,69.35
39395,Gray Seal,3/4/2018,0:25:40,40.341,69.672
39395,Gray Seal,3/4/2018,13:42:23,40.297,69.774
39395,Gray Seal,3/5/2018,23:21:06,40.59,70.132
39395,Gray Seal,3/7/2018,14:21:15,40.668,70.198
39395,Gray Seal,3/9/2018,2:03:50,40.649,70.147
39395,Gray Seal,3/9/2018,23:21:34,40.476,70.039
39395,Gray Seal,3/10/2018,11:05:55,40.402,69.986
39395,Gray Seal,3/14/2018,1:16:43,40.286,69.898
39395,Gray Seal,3/15/2018,11:13:34,40.308,70.033
39395,Gray Seal,3/16/2018,12:25:55,40.537,69.724
39395,Gray Seal,3/17/2018,9:07:01,40.595,69.592
39395,Gray Seal,3/19/2018,14:12:11,41.384,70.065
39395,Gray Seal,3/20/2018,22:08:17,41.008,70.638
39395,Gray Seal,3/21/2018,23:32:51,40.956,70.651
39395,Gray Seal,3/22/2018,11:38:31,40.961,70.663
39395,Gray Seal,3/25/2018,13:48:38,40.868,71.188
39395,Gray Seal,3/26/2018,1:12:55,40.826,71.242
39395,Gray Seal,3/26/2018,10:01:39,40.786,71.336
39395,Gray Seal,3/31/2018,11:49:38,40.378,71.138
39395,Gray Seal,4/1/2018,22:05:38,40.486,70.51
39395,Gray Seal,4/2/2018,14:23:34,40.54,70.37
39395,Gray Seal,4/4/2018,1:25:03,40.977,69.769
39395,Gray Seal,4/4/2018,14:20:36,41.019,70.383
39395,Gray Seal,4/5/2018,19:35:13,41.009,70.827
39395,Gray Seal,4/6/2018,14:02:01,41.121,70.923
39395,Gray Seal,4/8/2018,11:55:00,41.344,71.162
39395,Gray Seal,4/9/2018,18:50:30,40.878,71.151
39395,Gray Seal,4/10/2018,14:58:49,40.796,70.764
39395,Gray Seal,4/14/2018,0:04:02,40.448,70.05
39395,Gray Seal,4/14/2018,11:13:28,40.507,70.077
39395,Gray Seal,4/15/2018,23:38:53,41.402,70.113
39395,Gray Seal,4/18/2018,0:54:47,41.35,70.072
39395,Gray Seal,4/20/2018,0:37:36,41.306,70.22
39395,Gray Seal,4/20/2018,9:43:48,41.014,70.434
39395,Gray Seal,4/25/2018,9:14:16,40.903,71.225
39395,Gray Seal,4/27/2018,18:42:43,40.996,70.813
39395,Gray Seal,4/29/2018,22:19:34,41.222,70.706
39395,Gray Seal,5/3/2018,23:30:31,40.963,70.63
39395,Gray Seal,5/8/2018,1:16:41,41.017,70.012
39395,Gray Seal,5/13/2018,1:08:53,41.126,69.891
39395,Gray Seal,5/13/2018,13:14:21,41.049,69.831
39395,Gray Seal,5/15/2018,20:13:21,40.602,69.386
39395,Gray Seal,5/17/2018,3:16:28,41.011,69.212
39395,Gray Seal,5/17/2018,10:43:27,40.941,69.208
39395,Gray Seal,5/18/2018,21:19:27,41.203,69.928
39395,Gray Seal,5/19/2018,14:52:13,41.306,70.257
39395,Gray Seal,5/20/2018,9:09:57,41.39,70.048
39395,Gray Seal,5/21/2018,22:30:48,41.282,70.231
39395,Gray Seal,5/22/2018,22:29:46,41.287,70.23
39395,Gray Seal,5/23/2018,10:49:12,41.291,70.341
39395,Gray Seal,5/25/2018,11:35:36,41.208,70.159
39395,Gray Seal,5/26/2018,0:18:26,41.285,70.263
39395,Gray Seal,5/27/2018,12:28:19,41.286,70.253
39395,Gray Seal,5/28/2018,23:18:11,41.292,70.224
39395,Gray Seal,5/29/2018,11:09:08,41.303,70.216
39395,Gray Seal,6/4/2018,1:24:53,40.752,70.358
39395,Gray Seal,6/4/2018,9:56:15,40.873,70.052
39395,Gray Seal,6/5/2018,23:16:41,41.298,70.237
39395,Gray Seal,6/7/2018,11:09:59,41.305,70.224
39395,Gray Seal,6/9/2018,0:18:39,41.319,70.293
39395,Gray Seal,6/9/2018,18:46:55,41.347,70.29
39395,Gray Seal,6/11/2018,15:13:11,41.341,70.319
39395,Gray Seal,6/12/2018,19:50:47,41.318,70.293
39395,Gray Seal,6/13/2018,22:12:14,41.303,70.302
39395,Gray Seal,6/17/2018,21:38:04,40.633,70.105
39395,Gray Seal,6/19/2018,22:27:34,41.317,70.287
39395,Gray Seal,6/20/2018,21:57:55,41.315,70.299
39395,Gray Seal,6/21/2018,9:14:03,41.182,70.31
39395,Gray Seal,6/23/2018,11:11:04,40.885,70.053
39395,Gray Seal,6/25/2018,13:45:51,40.936,69.133
39395,Gray Seal,6/27/2018,18:38:45,41.019,69.217
39395,Gray Seal,6/29/2018,10:02:20,40.893,69.346
39395,Gray Seal,7/1/2018,0:34:03,41.064,69.119
39395,Gray Seal,7/1/2018,9:49:44,41.017,69.194
39395,Gray Seal,7/2/2018,22:04:53,41.066,69.213
39395,Gray Seal,7/3/2018,15:19:46,41.036,69.251
39395,Gray Seal,7/5/2018,1:14:24,40.962,69.928
39395,Gray Seal,7/5/2018,11:36:00,41.017,69.174
39395,Gray Seal,7/7/2018,0:37:55,41.132,69.224
39395,Gray Seal,7/7/2018,12:54:42,41.163,69.29
39395,Gray Seal,7/8/2018,19:53:17,41.335,70.286
39395,Gray Seal,7/9/2018,12:27:41,41.318,70.286
39395,Gray Seal,7/10/2018,19:27:36,41.312,70.241
39395,Gray Seal,7/11/2018,20:57:03,41.305,70.227
39395,Gray Seal,7/12/2018,22:09:20,41.308,70.222
39395,Gray Seal,7/13/2018,11:05:36,41.314,70.214
39395,Gray Seal,7/14/2018,13:50:27,41.307,70.221
39395,Gray Seal,7/15/2018,15:09:40,41.307,70.229
39395,Gray Seal,7/16/2018,23:24:01,41.311,70.232
39395,Gray Seal,7/17/2018,16:06:16,41.308,70.22
39395,Gray Seal,7/18/2018,0:29:17,41.301,70.159
39395,Gray Seal,7/19/2018,1:31:35,41.319,70.236
39395,Gray Seal,7/19/2018,13:46:01,41.308,70.225
39395,Gray Seal,7/21/2018,2:28:23,41.304,70.224
39395,Gray Seal,7/23/2018,0:06:54,41.035,69.35
39395,Gray Seal,7/26/2018,10:43:51,40.993,69.245
39395,Gray Seal,7/28/2018,21:11:48,40.841,69.579
39395,Gray Seal,7/29/2018,20:49:49,41.306,70.245
39395,Gray Seal,7/30/2018,22:00:31,41.308,70.219
39395,Gray Seal,7/31/2018,22:16:16,41.307,70.228
39395,Gray Seal,8/1/2018,23:25:03,41.305,70.215
39395,Gray Seal,8/3/2018,19:50:32,41.293,70.219
39395,Gray Seal,8/4/2018,2:37:32,41.035,70.189
39395,Gray Seal,8/6/2018,0:38:29,40.85,69.272
39395,Gray Seal,8/8/2018,0:56:17,40.842,69.289
39395,Gray Seal,8/9/2018,10:35:22,40.943,69.625
